year,Team,Predicted Rank (RFE),Actual Rank
2023,air force,18,
2023,liberty,19,18
2023,ohio st.,20,
2023,southern california,21,
2023,arizona,22,14
2023,northwestern,23,
2023,northwestern,24,
2023,south carolina,25,
2023,troy university,26,
2023,louisville,27,16
2023,rutgers,28,
2023,fresno st.,29,
2023,arkansas,30,
2023,wyoming,31,
2023,army,32,
2023,colorado,33,
2023,north carolina,34,
2023,illinois,35,
2023,minnesota,36,
2023,toledo,37,
2023,miami,38,
2023,miami,39,
2023,central florida,40,
2023,utah,41,
2023,san jose state,42,
2023,memphis,43,
2023,sam houston,44,
2023,bowling green,45,
2023,niu,46,
2023,mississippi state,47,
2023,iowa st.,48,
2023,virginia tech,49,
2023,nebraska,50,
2023,south alabama,51,
2023,oregon state,52,
2023,boston college,53,
2023,texas a&m,54,
2023,north texas,55,
2023,ohio,56,
2023,florida,57,
2023,wisconsin,58,
2023,maryland,59,
2023,western ky.,60,
2023,tcu,61,
2023,texas st.,62,
2023,pittsburgh,63,
2023,new mexico,64,
2023,auburn,65,
2023,tulsa,66,
2023,louisiana tech,67,
2023,navy,68,
2023,north carolina state,69,19
2023,boise st.,70,
2023,arizona state,71,
2023,jacksonville st.,72,
2023,app state,73,
2023,akron,74,
2023,miami,75,
2023,miami,76,
2023,kansas,77,
2023,nevada-las vegas,78,
2023,umass,79,
2023,washington st.,80,
2023,buffalo,81,
2023,georgia tech,82,
2023,san diego state,83,
2023,rice,84,
2023,michigan st.,85,
2023,ball state,86,
2023,kentucky,87,
2023,west virginia,88,
2023,iowa,89,20
2023,south fla.,90,
2023,texas-san antonio,91,
2023,duke,92,
2023,east carolina,93,
2023,houston,94,
2023,florida atlantic,95,
2023,new mexico st.,96,
2023,byu,97,
2023,colorado st.,98,
2023,charlotte,99,
2023,baylor,100,
2023,southern miss,101,
2023,purdue,102,
2023,cincinnati,103,
2023,ga. southern,104,
2023,syracuse,105,
2023,stanford,106,
2023,coastal carolina,107,
2023,marshall,108,
2023,texas-el paso,109,
2023,fiu,110,
2023,oklahoma state,111,
2023,texas tech,112,
2023,hawaii,113,
2023,eastern mich.,114,
2023,georgia state,115,
2023,western michigan,116,
2023,wake forest,117,
2023,tennessee,118,25
2023,louisiana-lafayette,119,
2023,temple,120,
2023,indiana,121,
2023,central michigan,122,
2023,old dominion,123,
2023,connecticut,124,
2023,vanderbilt,125,
2023,james madison,126,24
2023,middle tennessee,127,
2023,tulane,128,23
2023,utah st.,129,
2023,virginia,130,
2023,clemson,131,22
2023,kent state,132,
2023,ulm,133,
2023,nevada,134,
2023,california,135,
2023,alabama-birmingham,136,
2023,arkansas state,137,
